;Format of textures:
;TextureName	Width	Height
;*	PatchName	Xoffset	Yoffset
AASTINKY    		32	72
*	WALL00_3    	0	0
*	WALL00_3    	12	0
*	WALL00_3    	24	0
BIGDOOR1    		128	96
*	W13_1       	0	0
*	W13_1       	0	24
*	W13_1       	64	0
*	W13_1       	64	24
*	DOOR2_1     	16	0
BIGDOOR2    		128	128
*	DOOR2_4     	0	0
BIGDOOR4    		128	128
*	DOOR9_1     	0	0
BRNBIGC     		128	128
*	W113_1      	0	0
BRNBIGL     		32	128
*	W113_2      	0	0
BRNBIGR     		32	128
*	W113_3      	0	0
BRNPOIS     		64	128
*	WALL62_2    	0	0
*	PS20A0      	1	60
BRNPOIS2    		64	128
*	WALL62_1    	0	0
*	PS20A0      	0	56
BRNSMAL1    		64	64
*	W111_2      	0	0
BRNSMAL2    		64	64
*	W111_3      	0	0
BRNSMALC    		64	64
*	W112_1      	0	0
BRNSMALL    		32	64
*	W112_3      	0	0
BRNSMALR    		32	64
*	W112_2      	0	0
BROWN1      		128	128
*	WALL02_2    	0	56
*	WALL02_1    	64	56
*	WALL02_2    	0	0
*	WALL02_1    	64	0
*	WALL02_3    	64	56
*	WALL02_3    	64	0
BROWN144    		128	128
*	WALL00_5    	0	0
*	WALL00_6    	16	0
*	WALL00_7    	32	0
*	WALL00_8    	48	0
*	WALL00_6    	64	0
*	WALL00_6    	80	0
*	WALL00_7    	96	0
*	WALL00_7    	112	0
BROWN96     		128	128
*	WALL62_1    	0	0
BROWNGRN    		64	128
*	WALL62_2    	0	0
BROWNHUG    		64	128
*	WALL04_7    	32	0
*	WALL04_2    	0	0
*	WALL04_3    	16	0
*	WALL04_2    	48	0
*	WALL04_4    	0	64
*	WALL04_5    	16	64
*	WALL04_7    	32	64
*	WALL04_3    	48	64
BROWNPIP    		128	128
*	TP2_1       	0	0
*	STEP07      	0	64
*	STEP07      	32	64
*	STEP07      	64	64
*	STEP07      	96	64
*	WALL05_2    	0	72
*	WALL05_2    	64	72
*	STEP07      	0	120
*	STEP07      	32	120
*	STEP07      	64	120
*	STEP07      	96	120
*	STEP07      	0	0
COMP2       		256	128
*	COMP02_7    	128	64
*	COMP02_6    	0	64
*	COMP02_5    	192	64
*	COMP02_4    	128	0
*	COMP02_3    	192	0
*	COMP02_2    	64	0
*	COMP02_8    	64	64
*	COMP02_1    	0	0
*	STEP08      	0	56
*	STEP08      	32	56
*	STEP08      	64	56
*	STEP08      	96	56
*	STEP08      	128	56
*	STEP08      	160	56
*	STEP08      	192	56
*	STEP08      	224	56
*	STEP08      	224	120
*	STEP08      	192	120
*	STEP08      	160	120
*	STEP08      	128	120
*	STEP08      	96	120
*	STEP08      	64	120
*	STEP08      	32	120
*	STEP08      	0	120
COMPSPAN    		32	128
*	COMP03_4    	0	0
*	COMP03_4    	0	64
COMPSTA1    		128	128
*	AG128_2     	0	70
*	AG128_2     	64	70
*	TOMW2_1     	0	0
